game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
8211301d-3a53-4492-b861-2fe6d0aee1af,1,Live Chess,Chess.com,2022.06.25,-,Berkay1803,jiit9124,0-1,1442,,1449,,,,jiit9124,1449,Berkay1803,1442,7,B10,jiit9124 won by checkmate,600,2022.06.25,16:44:46,,,2023-10-24T16:57:46+0000,2022-06.pgn
b4669849-1317-493e-8b67-a2bfdf091d6e,2,Live Chess,Chess.com,2022.06.25,-,jiit9124,CamperLVL60,1-0,1184,,1151,,,,jiit9124,1184,CamperLVL60,1151,33,D10,jiit9124 won on time,60,2022.06.25,16:42:35,,,2023-10-24T16:57:46+0000,2022-06.pgn
4b15967d-9eeb-4f3c-ae1a-3f6c0b040d63,3,Live Chess,Chess.com,2022.06.23,-,jiit9124,SteSoc,0-1,1176,,1147,,,,SteSoc,1147,jiit9124,1176,-29,A45,SteSoc won by resignation,60,2022.06.23,17:36:50,,,2023-10-24T16:57:46+0000,2022-06.pgn
b7dbc0dd-425f-4879-b818-5f47f3429451,4,Live Chess,Chess.com,2022.06.23,-,Ikarios13,jiit9124,0-1,1181,,1185,,,,jiit9124,1185,Ikarios13,1181,4,B10,jiit9124 won on time,60,2022.06.23,17:34:18,,,2023-10-24T16:57:46+0000,2022-06.pgn
306f9d82-638b-48d4-8e11-15d9ea03d197,5,Live Chess,Chess.com,2022.06.23,-,Creed0911,jiit9124,0-1,1204,,1177,,,,jiit9124,1177,Creed0911,1204,-27,B21,jiit9124 won by checkmate,60,2022.06.23,17:32:52,,,2023-10-24T16:57:46+0000,2022-06.pgn
eb6d40ce-460c-42b4-a0b7-c8081cb5ac30,6,Live Chess,Chess.com,2022.06.23,-,peterherreman,jiit9124,0-1,1167,,1168,,,,jiit9124,1168,peterherreman,1167,1,B30,jiit9124 won by checkmate,60,2022.06.23,17:29:45,,,2023-10-24T16:57:46+0000,2022-06.pgn
bcba597e-47ce-4a90-ada0-9390501ad6c6,7,Live Chess,Chess.com,2022.06.23,-,jiit9124,javierchess25,0-1,1160,,1185,,,,javierchess25,1185,jiit9124,1160,25,D00,javierchess25 won on time,60,2022.06.23,17:27:04,,,2023-10-24T16:57:46+0000,2022-06.pgn
7ba1d5c2-5f5e-461e-bd03-a76a0c4a7f39,8,Live Chess,Chess.com,2022.06.23,-,jiit9124,AweIsaac,0-1,1168,,1164,,,,AweIsaac,1164,jiit9124,1168,-4,A43,AweIsaac won by resignation,60,2022.06.23,17:26:24,,,2023-10-24T16:57:46+0000,2022-06.pgn
54296ca5-eeed-4f90-81d2-3c302853d99f,9,Live Chess,Chess.com,2022.06.23,-,jiit9124,BotAdam,0-1,1176,,1239,,,,BotAdam,1239,jiit9124,1176,63,D00,BotAdam won by checkmate,60,2022.06.23,17:24:04,,,2023-10-24T16:57:46+0000,2022-06.pgn
29e60cea-66f5-4ab0-a737-9116fb19e89f,10,Live Chess,Chess.com,2022.06.23,-,EmirAybek,jiit9124,0-1,1148,,1183,,,,jiit9124,1183,EmirAybek,1148,35,B23,jiit9124 won by checkmate,60,2022.06.23,17:21:50,,,2023-10-24T16:57:46+0000,2022-06.pgn
d906d81e-8a8f-4df1-ab82-3456924e7ed9,11,Live Chess,Chess.com,2022.06.23,-,francisduval37,jiit9124,1-0,1217,,1175,,,,francisduval37,1217,jiit9124,1175,42,B30,francisduval37 won by checkmate,60,2022.06.23,17:21:27,,,2023-10-24T16:57:46+0000,2022-06.pgn
8c6e6950-f596-4efc-9e3a-0748cb9da30f,12,Live Chess,Chess.com,2022.06.23,-,jiit9124,edgardela,1-0,1182,,1204,,,,jiit9124,1182,edgardela,1204,-22,D00,jiit9124 won by checkmate,60,2022.06.23,17:17:10,,,2023-10-24T16:57:46+0000,2022-06.pgn
01dd53f4-91fa-4bf0-8607-885691a88f5a,13,Live Chess,Chess.com,2022.06.23,-,jiit9124,Thaitanium88,0-1,1173,,1148,,,,Thaitanium88,1148,jiit9124,1173,-25,A40,Thaitanium88 won by checkmate,60,2022.06.23,17:16:02,,,2023-10-24T16:57:46+0000,2022-06.pgn
51747ddb-ff81-4454-b9ec-3bea9474cf81,14,Live Chess,Chess.com,2022.06.23,-,VuDuBlade,jiit9124,0-1,1402,,1441,,,,jiit9124,1441,VuDuBlade,1402,39,A00,jiit9124 won by resignation,600,2022.06.23,16:37:53,,,2023-10-24T16:57:46+0000,2022-06.pgn
6b1af8d4-aefa-4a12-97b5-682cec37688b,15,Live Chess,Chess.com,2022.06.23,-,jiit9124,Nilakantha,1-0,1434,,1466,,,,jiit9124,1434,Nilakantha,1466,-32,D20,jiit9124 won by checkmate,600,2022.06.23,13:02:53,,,2023-10-24T16:57:46+0000,2022-06.pgn
7ece8125-13af-49fc-b2fc-2de4786acb91,16,Live Chess,Chess.com,2022.06.18,-,Rkab01,jiit9124,1-0,1181,,1182,,,,Rkab01,1181,jiit9124,1182,-1,B50,Rkab01 won by resignation,60,2022.06.18,18:44:37,,,2023-10-24T16:57:46+0000,2022-06.pgn
9677d02c-7c94-4273-89e8-8a726ec9d774,17,Live Chess,Chess.com,2022.06.18,-,Azaskan,jiit9124,1-0,1200,,1190,,,,Azaskan,1200,jiit9124,1190,10,A00,Azaskan won by checkmate,60,2022.06.18,18:42:43,,,2023-10-24T16:57:46+0000,2022-06.pgn
56a8756c-dac3-40d0-bdfe-e1d33e849bbd,18,Live Chess,Chess.com,2022.06.18,-,Xelvira,jiit9124,1-0,1200,,1198,,,,Xelvira,1200,jiit9124,1198,2,B10,Xelvira won by resignation,60,2022.06.18,18:41:08,,,2023-10-24T16:57:46+0000,2022-06.pgn
242c1f27-d8cf-445f-9b0e-c2c4e2bbf380,19,Live Chess,Chess.com,2022.06.18,-,jiit9124,collinsmsipa,1-0,1206,,1177,,,,jiit9124,1206,collinsmsipa,1177,29,A40,jiit9124 won on time,60,2022.06.18,18:38:54,,,2023-10-24T16:57:46+0000,2022-06.pgn
29701c34-eb3a-41a8-8aa2-5fb6b971206f,20,Live Chess,Chess.com,2022.06.18,-,jiit9124,19701970,0-1,1198,,1168,,,,19701970,1168,jiit9124,1198,-30,A41,19701970 won by checkmate,60,2022.06.18,18:36:41,,,2023-10-24T16:57:46+0000,2022-06.pgn
6d14c327-75ef-4ad0-9d7d-d4008bac101f,21,Live Chess,Chess.com,2022.06.18,-,jiit9124,NarikL,1-0,1207,,1172,,,,jiit9124,1207,NarikL,1172,35,A40,jiit9124 won by checkmate,60,2022.06.18,18:35:34,,,2023-10-24T16:57:46+0000,2022-06.pgn
a19a8ddc-1a40-4564-a430-6315f27d6694,22,Live Chess,Chess.com,2022.06.18,-,muerte-negra,jiit9124,0-1,1119,,1199,,,,jiit9124,1199,muerte-negra,1119,80,B51,jiit9124 won by resignation,60,2022.06.18,18:34:43,,,2023-10-24T16:57:46+0000,2022-06.pgn
966db1a1-144d-495a-94a5-8b8bf9a2e2fd,23,Live Chess,Chess.com,2022.06.18,-,gabri180602,jiit9124,0-1,1257,,1193,,,,jiit9124,1193,gabri180602,1257,-64,D10,jiit9124 won by checkmate,60,2022.06.18,18:32:58,,,2023-10-24T16:57:46+0000,2022-06.pgn
0971be9e-4e96-442d-b933-ce75a095cd35,24,Live Chess,Chess.com,2022.06.18,-,jiit9124,Davout7,1-0,1183,,1174,,,,jiit9124,1183,Davout7,1174,9,D00,jiit9124 won on time,60,2022.06.18,18:30:35,,,2023-10-24T16:57:46+0000,2022-06.pgn
